id,name,type,subtype,district,neighbourhood,latitude,longitude,etymology_type,etymology_summary,named_after,named_after_wikidata,person_gender,person_birth_year,person_death_year,person_profession,person_nationality,naming_date,previous_names,source,confidence,etymology_summary_es,named_after_es
street_011,Calle de Hortaleza,street,calle,Centro,,40.4227,-3.6995,place,Named as the road leading north to the village of Hortaleza (now a district of Madrid). The name Hortaleza itself has disputed etymology (orchards or sunrise).,Hortaleza,,,,,,,,,Madripedia; Wikipedia,verified,Nombrada como el camino que se dirigía al norte hacia la aldea de Hortaleza (hoy distrito de Madrid). El nombre Hortaleza tiene etimología disputada (huertos o amanecer).,Hortaleza
street_012,Calle de Fuencarral,street,calle,Centro,,40.4234,-3.7012,place,Named as the road leading north to the village of Fuencarral ('Fuente del Carral' -- a water source). Now a major shopping street.,Fuencarral,,,,,,,,,Madripedia; Wikipedia,verified,"Nombrada como el camino que se dirigía al norte hacia la aldea de Fuencarral ('Fuente del Carral', un manantial). Hoy es una importante calle comercial.",Fuencarral
street_013,Paseo del Prado,street,paseo,Retiro,,40.4135,-3.6921,descriptive,'Prado' means meadow (from Latin pratum). Named after the meadow that existed along the eastern edge of the old city. The paseo (promenade) was developed in the 18th century under Carlos III. Part of the UNESCO-listed 'Landscape of Light' (2021).,,,,,,,,,,es.wikipedia.org/wiki/Paseo_del_Prado; museodelprado.es; Madripedia,verified,'Prado' significa pradera (del latín pratum). Nombrado por la pradera que existía en el borde oriental de la ciudad antigua. El paseo se desarrolló en el siglo XVIII bajo Carlos III. Forma parte del 'Paisaje de la Luz' declarado Patrimonio de la UNESCO (2021).,
street_014,Paseo de la Castellana,street,paseo,Chamartín,,40.4473,-3.6895,historical,"Named after the 'Paseo Nuevo de las Delicias de la Princesa' and later 'Paseo de la Fuente Castellana', referring to a fountain with water from a 'castellana' (castle-related source). Madrid's main north-south artery.",,,,,,,,,,es.wikipedia.org/wiki/Paseo_de_la_Castellana; Madripedia; callesdemadrid.cc,verified,"Nombrado a partir del 'Paseo Nuevo de las Delicias de la Princesa' y posteriormente 'Paseo de la Fuente Castellana', en referencia a una fuente cuya agua procedía de una 'castellana' (fuente vinculada a un castillo). Principal arteria norte-sur de Madrid.",
street_015,Calle de Arturo Soria,street,calle,Ciudad Lineal,,40.4570,-3.6300,person,"Named after Arturo Soria y Mata (1844-1920), visionary urbanist who designed the Ciudad Lineal (Linear City) concept, a pioneering model of urban planning built 1892-1911. This 15km boulevard was the spine of his utopian urban plan.",Arturo Soria,Q715548,M,1844,1920,engineer; urban planner; journalist,Spanish,,,es.wikipedia.org/wiki/Calle_de_Arturo_Soria; revivemadrid.com; callesdemadrid.cc,verified,"Debe su nombre a Arturo Soria y Mata (1844-1920), urbanista visionario que diseñó el concepto de la Ciudad Lineal, un modelo pionero de planificación urbana construido entre 1892 y 1911. Este bulevar de 15 km fue la columna vertebral de su plan urbanístico utópico.",Arturo Soria
street_016,Calle Mayor,street,calle,Centro,,40.4154,-3.7092,descriptive,"'Main Street' -- one of the oldest streets in Madrid, following the route from the Moorish alcazar (now Royal Palace) eastward. Historically the most important commercial and ceremonial route.",,,,,,,,,,Madripedia; Wikipedia,verified,"'Calle Mayor' = calle principal: una de las más antiguas de Madrid, que sigue la ruta desde el alcázar árabe (hoy Palacio Real) hacia el este. Históricamente la vía comercial y ceremonial más importante.",
street_017,Calle de la Princesa,street,calle,Moncloa-Aravaca,,40.4318,-3.7203,person,"Named after Princess Isabel (later Isabel II, 1830-1904), when she was still princess. One of the main arteries connecting the city center to the western outskirts.",Isabel II,Q183085,F,1830,1904,queen,Spanish,,,es.wikipedia.org/wiki/Calle_de_la_Princesa_(Madrid); Madripedia; callesdemadrid.cc,probable,"Debe su nombre a la princesa Isabel (futura Isabel II, 1830-1904), cuando aún era princesa. Una de las arterias principales que conectan el centro con las afueras occidentales.",Isabel II
street_018,Calle de Serrano,street,calle,Salamanca,,40.4326,-3.6837,person,"Named after Francisco Serrano y Domínguez (1810-1885), Duke of la Torre, military leader and regent of Spain (1869-1871) during the Revolutionary Sexennium. The street was named after the 1868 revolution.",Francisco Serrano y Domínguez,Q515741,M,1810,1885,military; regent,Spanish,,,es.wikipedia.org/wiki/Estacion_de_Serrano; en.wikipedia.org/wiki/Calle_de_Serrano; callesdemadrid.cc,verified,"Debe su nombre a Francisco Serrano y Domínguez (1810-1885), duque de la Torre, militar y regente de España (1869-1871) durante el Sexenio Revolucionario. La calle recibió su nombre tras la revolución de 1868.",Francisco Serrano y Domínguez
street_019,Calle de Velázquez,street,calle,Salamanca,,40.4295,-3.6789,person,"Named after Diego Velázquez (1599-1660), the great painter of the Spanish Golden Age, court painter to Felipe IV. Author of 'Las Meninas'.",Diego Velázquez,Q297,M,1599,1660,painter,Spanish,,,es.wikipedia.org/wiki/Estacion_de_Velazquez_(Metro_de_Madrid); museodelprado.es; callesdemadrid.cc,verified,"Debe su nombre a Diego Velázquez (1599-1660), el gran pintor del Siglo de Oro español, pintor de cámara de Felipe IV. Autor de 'Las Meninas'.",Diego Velázquez
street_020,Calle de Cervantes,street,calle,Centro,Barrio de las Letras,40.4137,-3.6967,person,"Named after Miguel de Cervantes (1547-1616), author of Don Quixote, who lived and died on this street (then called Calle de Francos). The house where he died was at #2.",Miguel de Cervantes,Q5682,M,1547,1616,writer,Spanish,,,Wikipedia; Madripedia,verified,"Debe su nombre a Miguel de Cervantes (1547-1616), autor del Quijote, que vivió y murió en esta calle (entonces llamada calle de Francos). La casa donde falleció estaba en el n.º 2.",Miguel de Cervantes
street_021,Calle de Lope de Vega,street,calle,Centro,Barrio de las Letras,40.4136,-3.6960,person,"Named after Lope de Vega (1562-1635), the prolific Golden Age playwright ('Monster of Nature'). His house at #11 is now a museum.",Lope de Vega,Q165257,M,1562,1635,playwright; poet,Spanish,,,es.wikipedia.org/wiki/Lope_de_Vega; Madripedia; callesdemadrid.cc,verified,"Debe su nombre a Lope de Vega (1562-1635), el prolífico dramaturgo del Siglo de Oro ('Monstruo de la Naturaleza'). Su casa en el n.º 11 es hoy un museo.",Lope de Vega
street_022,Calle de Quevedo,street,calle,Centro,,40.4258,-3.7002,person,"Named after Francisco de Quevedo (1580-1645), poet and prose writer of the Spanish Golden Age, famous for his picaresque novel 'El Buscon'.",Francisco de Quevedo,Q201315,M,1580,1645,writer; poet,Spanish,,,es.wikipedia.org/wiki/Estacion_de_Quevedo; Madripedia; callesdemadrid.cc,verified,"Debe su nombre a Francisco de Quevedo (1580-1645), poeta y prosista del Siglo de Oro español, célebre por su novela picaresca 'El Buscón'.",Francisco de Quevedo
street_023,Calle del Limón,street,calle,Centro,,40.4160,-3.7120,descriptive,Named after a lemon tree ('limon') that grew at this location. One of many Madrid streets named after trees or plants.,,,,,,,,,,Madripedia; callesdemadrid.cc,probable,Nombrada por un limonero ('limón') que crecía en este lugar. Una de las muchas calles madrileñas que llevan nombre de árboles o plantas.,
street_024,Calle del Almendro,street,calle,Centro,,40.4098,-3.7090,descriptive,Named after an almond tree ('almendro') that grew in the area. Part of the traditional pattern of naming streets after local vegetation.,,,,,,,,,,Madripedia; callesdemadrid.cc,probable,Nombrada por un almendro que crecía en la zona. Forma parte de la tradición de nombrar calles según la vegetación local.,
street_025,Calle de la Ruda,street,calle,Centro,,40.4080,-3.7088,descriptive,"Named after the rue plant ('ruda', Ruta graveolens), an herb used in traditional medicine and believed to ward off evil spirits.",,,,,,,,,,Madripedia; callesdemadrid.cc,probable,"Debe su nombre a la ruda (Ruta graveolens), una hierba utilizada en la medicina tradicional y a la que se atribuía el poder de ahuyentar los malos espíritus.",
street_026,Calle de la Fe,street,calle,Centro,Lavapiés,40.4080,-3.7000,descriptive,"'Street of Faith' -- named after the abstract concept of faith ('fe'). Part of a cluster of streets in Lavapies named after virtues (Fe, Esperanza, Amor de Dios).",,,,,,,,,,Madripedia; Wikipedia,probable,"'Calle de la Fe': nombrada por el concepto abstracto de la fe. Forma parte de un grupo de calles de Lavapiés con nombres de virtudes (Fe, Esperanza, Amor de Dios).",
street_027,Calle de la Esperanza,street,calle,Centro,Lavapiés,40.4072,-3.7003,descriptive,'Street of Hope' -- named after the virtue of hope ('esperanza'). Part of the virtues cluster with Fe and Amor de Dios.,,,,,,,,,,Madripedia; callesdemadrid.cc,probable,'Calle de la Esperanza': nombrada por la virtud de la esperanza. Forma parte del grupo de calles de las virtudes junto con Fe y Amor de Dios.,
street_028,Calle Amor de Dios,street,calle,Centro,Lavapiés,40.4108,-3.6982,religious,'Love of God Street' -- named after a religious concept. Part of the virtues cluster near Lavapies. Known today as the birthplace of flamenco tablaos in Madrid.,,,,,,,,,,Madripedia; callesdemadrid.cc,probable,'Calle del Amor de Dios': nombrada por un concepto religioso. Forma parte del grupo de calles de las virtudes cerca de Lavapiés. Hoy es conocida como cuna de los tablaos flamencos en Madrid.,
street_029,Calle de Atocha,street,calle,Centro,,40.4106,-3.6954,descriptive,"Named after the atocha/esparto grass (Stipa tenacissima) that grew in the area, leading to the Basílica de Nuestra Señora de Atocha.",,,,,,,,,,Madripedia; Wikipedia,verified,"Nombrada por la atocha/esparto (Stipa tenacissima) que crecía en la zona, en dirección a la Basílica de Nuestra Señora de Atocha.",
street_030,Calle de la Cuesta de Santo Domingo,street,cuesta,Centro,,40.4205,-3.7107,religious,"Named after the Convento de Santo Domingo el Real, a major Dominican convent founded in 1218. 'Cuesta' refers to the hill/slope leading up to it.",Convento de Santo Domingo el Real,,,,,,,,,Madripedia; es.wikipedia.org/wiki/Estacion_de_Santo_Domingo; callesdemadrid.cc,verified,"Debe su nombre al Convento de Santo Domingo el Real, un importante convento dominico fundado en 1218. 'Cuesta' alude a la pendiente que asciende hacia él.",Convento de Santo Domingo el Real
